gene,module_id,stability_score,classification
THRB,3,0.044897959,unstable
TIMM8A,1,0.783571429,core
TIMP3,0,0.726666667,core
TINF2,3,0.167346939,unstable
TLCD3B,0,0.792222222,core
TMEM126A,0,0.792222222,core
TMEM138,4,0.73875,core
TMEM216,4,0.73875,core
TMEM218,4,0.73875,core
TMEM231,4,0.73875,core
TMEM67,4,0.73875,core
TOPORS,4,0.73875,core
TPP1,1,0.801428571,core
TRAF3IP1,6,0.152,unstable
TRAPPC12,2,0.269019608,unstable
TREX1,3,0.017142857,unstable
TRNT1,1,0.021428571,unstable
TRPM1,10,0.914,core
TSFM,2,0.269019608,unstable
TSPAN12,5,0.641428571,peripheral
TTC8,7,0.992,core
TTLL5,0,0.792222222,core
TTPA,1,0.826428571,core
TUB,0,0.76,core
TUBB4B,6,0.7136,core
TUBGCP4,0,0.193333333,unstable
TUBGCP6,0,0.193333333,unstable
TULP1,6,0.7136,core
TYR,8,0.9984,core
TYRP1,8,0.9984,core
UBAP1L,0,0.792222222,core
UCHL1,1,0.851428571,core
USH1C,11,0.618666667,peripheral
USH1G,11,0.618666667,peripheral
USH2A,11,0.618666667,peripheral
VCAN,5,0.412857143,peripheral
VPS13B,3,0.033469388,unstable
WDR19,7,0.992,core
WFS1,9,0.353333333,unstable
WHRN,11,0.618666667,peripheral
YARS1,1,0.851428571,core
ZFYVE26,1,0.851428571,core
ZNF408,5,0.641428571,peripheral
ZNF423,4,0.73875,core
ZNHIT3,2,0.221960784,unstable
